url,page_type,title,title_len,title_duplicate_count,meta_description,desc_len,desc_duplicate_count,h1,h1_count,h1_duplicate_count,og_image
"https://anotherseoguru.com/en/glossary","glossary","SEO Glossary - 200+ Terms Explained | AnotherSEOGuru",52,1,"SEO glossary with 200+ definitions: technical SEO, GEO, AEO, AI search, links, and Search Console. Clear examples and links to platform features and guides.",156,1,"SEO Glossary - 200+ Terms Explained",1,1,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/el/glossary","glossary","SEO Γλωσσάρι - 200+ όροι | AnotherSEOGuru",41,1,"Γλωσσάρι SEO με 200+ ορισμούς: τεχνικό SEO, GEO, AEO, AI αναζήτηση, links και Search Console - με συνδέσμους σε οδηγούς και πλατφόρμα.",134,1,"SEO Γλωσσάρι - 200+ όροι",1,1,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/","home","SEO & Web Design Agency in Greece | AnotherSEOGuru",50,2,"Technical SEO, local SEO and GEO/AEO, plus website and e-shop builds. Strategy built on your own Search Console data, not a template. Request a quote.",150,2,"SEO services & web design that bring in customers",1,2,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/en","home","SEO & Web Design Agency in Greece | AnotherSEOGuru",50,2,"Technical SEO, local SEO and GEO/AEO, plus website and e-shop builds. Strategy built on your own Search Console data, not a template. Request a quote.",150,2,"SEO services & web design that bring in customers",1,2,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/en/contact","contact","Contact - Get a Free SEO Quote | AnotherSEOGuru",47,1,"Contact our SEO and web design team. We respond within 24 hours. Request a free quote for websites, GEO, AEO, technical SEO, or platform trial access.",150,1,"Let's Talk About Your Project",1,1,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/el/contact","contact","Επικοινωνία - Δωρεάν προσφορά SEO | AnotherSEOGuru",50,1,"Επικοινωνήστε με την ομάδα SEO και web design. Απάντηση εντός 24 ωρών. Δωρεάν προσφορά για ιστοσελίδες, GEO, AEO και τεχνικό SEO.",129,1,"Ας μιλήσουμε για το έργο σας",1,1,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/en/about","about","About - SEO Agency & Software | AnotherSEOGuru",46,1,"AnotherSEOGuru combines a GSC-native SEO platform with an execution-focused agency. Fast websites, GEO, AEO, and measurable growth. 500+ projects delivered.",156,1,"We Build Websites That Actually Work",1,1,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/en/services","service-index","SEO & Web Design Services | AnotherSEOGuru",42,1,"Technical SEO, local SEO, GEO and AEO, website and e-shop builds. Strategy built on your own data rather than a prepackaged checklist.",134,1,"SEO and web design services",1,1,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/en/solutions","solutions","SEO & Website Solutions by Industry | AnotherSEOGuru",52,1,"Websites and SEO by industry: hotels, rent-a-car, tourism, restaurants and service businesses. Strategy built around the demand in your sector.",143,1,"Solutions by industry",1,1,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/el/solutions","solutions","Λύσεις SEO & Ιστοσελίδων ανά Κλάδο | AnotherSEOGuru",51,1,"Ιστοσελίδες και SEO ανά κλάδο: ξενοδοχεία, ενοικίαση αυτοκινήτου, τουρισμός, εστίαση και υπηρεσίες. Στρατηγική με βάση τη ζήτηση του κλάδου σας.",144,1,"Λύσεις ανά κλάδο",1,1,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/el","home","SEO & Κατασκευή Ιστοσελίδων στην Ελλάδα | AnotherSEOGuru",56,1,"Τεχνικό SEO, τοπικό SEO και GEO/AEO, με κατασκευή ιστοσελίδων και e-shop. Στρατηγική βάσει των δικών σας δεδομένων, όχι έτοιμο πακέτο. Ζητήστε προσφορά.",152,1,"SEO υπηρεσίες & προώθηση ιστοσελίδων στην Ελλάδα",1,1,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/el/services","service-index","Υπηρεσίες SEO & Κατασκευής Ιστοσελίδων | AnotherSEOGuru",55,1,"Τεχνικό SEO, τοπικό SEO, GEO και AEO, κατασκευή ιστοσελίδων και e-shop. Στρατηγική βασισμένη στα δεδομένα σας, όχι έτοιμα πακέτα.",129,1,"Υπηρεσίες SEO και κατασκευής ιστοσελίδων",1,1,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/el/about","about","Ποιοι Είμαστε - SEO & Web Design | AnotherSEOGuru",49,1,"Η AnotherSEOGuru συνδυάζει ένα SEO platform με ένα agency κατασκευής ιστοσελίδων και SEO. Γρήγορες ιστοσελίδες, SEO, GEO, AEO και μετρήσιμη ανάπτυξη.",149,1,"Κατασκευάζουμε Ιστοσελίδες που Φέρνουν Αποτελέσματα",1,1,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/en/get-started","get-started","Get Started - Website & SEO Project | AnotherSEOGuru",52,1,"Start your website or SEO project: choose a package, share your goals, and launch a fast, SEO-ready site in weeks.",114,1,"Start Your Project",1,1,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/el/pricing","pricing","Τιμές SEO & Κατασκευής Ιστοσελίδων | AnotherSEOGuru",51,1,"Διαφανείς τιμές για SEO και κατασκευή ιστοσελίδων, με ΦΠΑ 24%. Στρατηγική προσαρμοσμένη στο project σας, χωρίς εγγυήσεις κατάταξης.",131,1,"Τιμές SEO και κατασκευής ιστοσελίδων",1,1,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/en/pricing","pricing","SEO & Website Pricing | AnotherSEOGuru",38,1,"Transparent pricing for SEO and website projects, with VAT shown clearly. Strategy built around your project, with no ranking guarantees.",137,1,"SEO and website pricing",1,1,"https://anotherseoguru.com/opengraph-image.png"
"https://anotherseoguru.com/el/work","work","Έργα & Portfolio - Τουρισμός, Ξενοδοχεία | AnotherSEOGuru",57,1,"55+ live ιστοσελίδες για ξενοδοχεία, ενοικίαση αυτοκινήτου, εκδρομές, βίλες και travel AI. Δείτε το portfolio μας με SEO βελτιστοποιημένα έργα σε Ελλάδα.",153,1,"Τα έργα μας",1,1,"https://anotherseoguru.com/opengraph-image.png"
